"Number of Fatalities, 2012","Rate of Fatalities, 2012","State Rank, Fatalities 2012",Number of Injuries/Illnesses 2012,Injuries/Illnesses 2012 Rate,Penalties FY 2013 (Average $),Penalties FY 2013 (Rank),Inspectors,Years to Inspect Each Workplace Once,State or Federal Program,state_name,location,ages,year,population,Abbreviation
63.0,3.5,25.0,36200.0,3.0,492.0,49.0,24.0,111.0,State,South Carolina,"(33.99882060100049, -81.04536765699964)",total,2012,4723417.0,SC
63.0,3.5,25.0,36200.0,3.0,492.0,49.0,24.0,111.0,State,South Carolina,"(33.99882060100049, -81.04536765699964)",under18,2012,1077455.0,SC
49.0,6.9,46.0,19800.0,4.1,1798.0,27.0,7.0,173.0,Federal,West Virginia,"(38.665511497000466, -80.71263935099967)",total,2012,1856680.0,WV
49.0,6.9,46.0,19800.0,4.1,1798.0,27.0,7.0,173.0,Federal,West Virginia,"(38.665511497000466, -80.71263935099967)",under18,2012,384030.0,WV
44.0,1.4,1.0,69700.0,3.1,1929.0,21.0,33.0,123.0,Federal,Massachusetts,"(42.27687306500047, -72.08268985899963)",under18,2012,1399417.0,MA
44.0,1.4,1.0,69700.0,3.1,1929.0,21.0,33.0,123.0,Federal,Massachusetts,"(42.27687306500047, -72.08268985899963)",total,2012,6645303.0,MA
101.0,3.8,30.0,65100.0,3.5,727.0,45.0,30.0,82.0,State,Tennessee,"(35.680943063000484, -85.77448642199965)",total,2012,6454914.0,TN
101.0,3.8,30.0,65100.0,3.5,727.0,45.0,30.0,82.0,State,Tennessee,"(35.680943063000484, -85.77448642199965)",under18,2012,1492689.0,TN
97.0,6.1,42.0,39000.0,3.6,1872.0,24.0,19.0,131.0,Federal,Oklahoma,"(35.472034350000456, -97.52106845499969)",total,2012,3815780.0,OK
97.0,6.1,42.0,39000.0,3.6,1872.0,24.0,19.0,131.0,Federal,Oklahoma,"(35.472034350000456, -97.52106845499969)",under18,2012,939911.0,OK
146.0,2.5,10.0,124900.0,3.2,1876.0,23.0,74.0,137.0,Federal,Illinois,"(40.48501278700047, -88.99770813999965)",under18,2012,3057042.0,IL
146.0,2.5,10.0,124900.0,3.2,1876.0,23.0,74.0,137.0,Federal,Illinois,"(40.48501278700047, -88.99770813999965)",total,2012,12868192.0,IL
48.0,5.2,38.0,24300.0,3.9,2565.0,5.0,9.0,128.0,Federal,Nebraska,"(41.64104043900045, -99.36571864599966)",under18,2012,462673.0,NE
48.0,5.2,38.0,24300.0,3.9,2565.0,5.0,9.0,128.0,Federal,Nebraska,"(41.64104043900045, -99.36571864599966)",total,2012,1855350.0,NE
14.0,3.1,18.0,7900.0,2.8,2406.0,6.0,5.0,175.0,Federal,Delaware,"(39.00883351400046, -75.57773943699965)",under18,2012,204586.0,DE
14.0,3.1,18.0,7900.0,2.8,2406.0,6.0,5.0,175.0,Federal,Delaware,"(39.00883351400046, -75.57773943699965)",total,2012,917053.0,DE
20.0,3.4,22.0,13700.0,3.8,964.0,39.0,20.0,79.0,State,Hawaii,"(21.30485166200043, -157.85774691599974)",under18,2012,305981.0,HI
20.0,3.4,22.0,13700.0,3.8,964.0,39.0,20.0,79.0,State,Hawaii,"(21.30485166200043, -157.85774691599974)",total,2012,1390090.0,HI
97.0,6.6,44.0,45600.0,4.5,790.0,43.0,26.0,98.0,State,Iowa,"(42.469404401000475, -93.81648936699969)",under18,2012,723917.0,IA
97.0,6.6,44.0,45600.0,4.5,790.0,43.0,26.0,98.0,State,Iowa,"(42.469404401000475, -93.81648936699969)",total,2012,3075039.0,IA
60.0,2.3,6.0,54400.0,3.2,891.0,40.0,30.0,126.0,State,Arizona,"(34.865973091000455, -111.76380949799972)",under18,2012,1617149.0,AZ
